format,quality,map_mean,map_std,map_min,map_max,f1_mean,f1_std,acc_mean,acc_std
avif,10,0.6124139552648596,,0.6124139552648596,0.6124139552648596,0.6260628395788229,,0.8662820512820513,
avif,20,0.6347675511822751,,0.6347675511822751,0.6347675511822751,0.6388216022180849,,0.8993589743589744,
avif,30,0.630330578857937,,0.630330578857937,0.630330578857937,0.6395508331760129,,0.8933333333333333,
avif,40,0.632729553263289,,0.632729553263289,0.632729553263289,0.6427724916314572,,0.8983333333333333,
avif,50,0.6309533374503311,,0.6309533374503311,0.6309533374503311,0.6204970673999002,,0.8974358974358975,
avif,60,0.6205654567470245,,0.6205654567470245,0.6205654567470245,0.6293419102623998,,0.8903846153846153,
avif,70,0.627576758286234,,0.627576758286234,0.627576758286234,0.6294942267482648,,0.8974358974358975,
avif,75,0.6311077945640162,,0.6311077945640162,0.6311077945640162,0.632751070390448,,0.897051282051282,
avif,80,0.6286339542946834,,0.6286339542946834,0.6286339542946834,0.6381576923293782,,0.8948717948717949,
avif,85,0.6277955868744887,,0.6277955868744887,0.6277955868744887,0.6228230247108612,,0.8991025641025641,
avif,90,0.6347736004363587,,0.6347736004363587,0.6347736004363587,0.6278397032005457,,0.8984615384615384,
avif,95,0.6289201292014138,,0.6289201292014138,0.6289201292014138,0.639794675319629,,0.9002564102564102,
avif,100,0.6221269434390693,,0.6221269434390693,0.6221269434390693,0.6234588095063883,,0.8998717948717949,
jpeg,10,0.610776736143747,,0.610776736143747,0.610776736143747,0.5468893657247108,,0.8858974358974359,
jpeg,20,0.6284176908042417,,0.6284176908042417,0.6284176908042417,0.62729787537218,,0.8844871794871795,
jpeg,30,0.6340478782905783,,0.6340478782905783,0.6340478782905783,0.6316159371487483,,0.8951282051282051,
jpeg,40,0.6294381440380635,,0.6294381440380635,0.6294381440380635,0.6324281498855086,,0.8955128205128206,
jpeg,50,0.6343587743512827,,0.6343587743512827,0.6343587743512827,0.6212684781253405,,0.9043589743589744,
jpeg,60,0.6173150965947168,,0.6173150965947168,0.6173150965947168,0.6279753980770115,,0.8865384615384615,
jpeg,70,0.6180969603654235,,0.6180969603654235,0.6180969603654235,0.6109292360188664,,0.8952564102564102,
jpeg,75,0.601551719851957,,0.601551719851957,0.601551719851957,0.606065097607534,,0.8694871794871795,
jpeg,80,0.6319848653968271,,0.6319848653968271,0.6319848653968271,0.6361782824610944,,0.8997435897435897,
jpeg,85,0.6294750814085927,,0.6294750814085927,0.6294750814085927,0.6231053542572225,,0.8993589743589744,
jpeg,90,0.6277623197918157,,0.6277623197918157,0.6277623197918157,0.638650807165349,,0.9014102564102564,
jpeg,95,0.6119278420022546,,0.6119278420022546,0.6119278420022546,0.6217803245841592,,0.8806410256410256,
jpeg,100,0.6036207705428316,,0.6036207705428316,0.6036207705428316,0.6110174926675899,,0.8582051282051282,
jpeg2000,10,0.6222283581759211,,0.6222283581759211,0.6222283581759211,0.6221857957199551,,0.8988461538461539,
jpeg2000,20,0.627628290545148,,0.627628290545148,0.627628290545148,0.6109453806147109,,0.9006410256410257,
jpeg2000,30,0.6253206838696103,,0.6253206838696103,0.6253206838696103,0.6307003798676892,,0.8808974358974359,
jpeg2000,40,0.6360172269422143,,0.6360172269422143,0.6360172269422143,0.6328744715864904,,0.8957692307692308,
jpeg2000,50,0.6343631404982669,,0.6343631404982669,0.6343631404982669,0.6309489644656769,,0.8956410256410257,
jpeg2000,60,0.613240098732859,,0.613240098732859,0.613240098732859,0.6263859122354751,,0.862948717948718,
jpeg2000,70,0.629301640474271,,0.629301640474271,0.629301640474271,0.6285862581640063,,0.8969230769230769,
jpeg2000,75,0.6270127999436396,,0.6270127999436396,0.6270127999436396,0.6278663185314377,,0.9016666666666666,
jpeg2000,80,0.6102944722110687,,0.6102944722110687,0.6102944722110687,0.6199319035040696,,0.8634615384615385,
jpeg2000,85,0.633833920745925,,0.633833920745925,0.633833920745925,0.6360968363931047,,0.8969230769230769,
jpeg2000,90,0.6285292534650574,,0.6285292534650574,0.6285292534650574,0.6265815556096199,,0.9037179487179487,
jpeg2000,95,0.6271833888809876,,0.6271833888809876,0.6271833888809876,0.6277509747741573,,0.9057692307692308,
jpeg2000,100,0.6106276002913017,,0.6106276002913017,0.6106276002913017,0.6229872646701026,,0.8803846153846154,
