format,quality,map_mean,map_std,map_min,map_max,f1_mean,f1_std,acc_mean,acc_std
avif,10,0.6410573855532444,,0.6410573855532444,0.6410573855532444,0.6626347231465465,,0.8843589743589744,
avif,20,0.6485333391242506,,0.6485333391242506,0.6485333391242506,0.6725053902617661,,0.8707692307692307,
avif,30,0.6521365801220114,,0.6521365801220114,0.6521365801220114,0.6668725004709243,,0.8756410256410256,
avif,40,0.6593185590228048,,0.6593185590228048,0.6593185590228048,0.6866542780282731,,0.8884615384615384,
avif,50,0.6478993293427449,,0.6478993293427449,0.6478993293427449,0.6748348286275005,,0.8821794871794871,
avif,60,0.6556957183769018,,0.6556957183769018,0.6556957183769018,0.6795548043132059,,0.887948717948718,
avif,70,0.6495587964790047,,0.6495587964790047,0.6495587964790047,0.6680759913759858,,0.8811538461538462,
avif,75,0.659664990007184,,0.659664990007184,0.659664990007184,0.6736843046154425,,0.8816666666666667,
avif,80,0.6624290675197616,,0.6624290675197616,0.6624290675197616,0.6708576302183747,,0.8862820512820513,
avif,85,0.6581491393502407,,0.6581491393502407,0.6581491393502407,0.6640831496910213,,0.8787179487179487,
avif,90,0.6417880910837123,,0.6417880910837123,0.6417880910837123,0.6630139274153176,,0.882051282051282,
avif,95,0.655631868893848,,0.655631868893848,0.655631868893848,0.6720699979215187,,0.8825641025641026,
avif,100,0.6541474098518343,,0.6541474098518343,0.6541474098518343,0.6762737936783423,,0.8864102564102564,
jpeg,10,0.6495929033321916,,0.6495929033321916,0.6495929033321916,0.670415011238784,,0.8806410256410256,
jpeg,20,0.6457396593251196,,0.6457396593251196,0.6457396593251196,0.676176593629565,,0.877051282051282,
jpeg,30,0.6415976768479555,,0.6415976768479555,0.6415976768479555,0.6663037441065522,,0.8638461538461538,
jpeg,40,0.6398380392468354,,0.6398380392468354,0.6398380392468354,0.6653551418172866,,0.8743589743589744,
jpeg,50,0.650749364211373,,0.650749364211373,0.650749364211373,0.663526780823141,,0.8803846153846154,
jpeg,60,0.6553094591274616,,0.6553094591274616,0.6553094591274616,0.6666372312599363,,0.8801282051282051,
jpeg,70,0.6399059527574956,,0.6399059527574956,0.6399059527574956,0.6614690479871026,,0.8732051282051282,
jpeg,75,0.6660489398977386,,0.6660489398977386,0.6660489398977386,0.6792341182595498,,0.8865384615384615,
jpeg,80,0.6459543754351648,,0.6459543754351648,0.6459543754351648,0.6718145549858042,,0.887948717948718,
jpeg,85,0.6496998496245036,,0.6496998496245036,0.6496998496245036,0.6693751167075348,,0.8705128205128205,
jpeg,90,0.6455290024447052,,0.6455290024447052,0.6455290024447052,0.6677281118678481,,0.8796153846153846,
jpeg,95,0.6499426858368055,,0.6499426858368055,0.6499426858368055,0.6675146370340223,,0.8743589743589744,
jpeg,100,0.6499276439173111,,0.6499276439173111,0.6499276439173111,0.6692801435664991,,0.8761538461538462,
jpeg2000,10,0.632448270983077,,0.632448270983077,0.632448270983077,0.6618513014592624,,0.8621794871794872,
jpeg2000,20,0.6490259756832399,,0.6490259756832399,0.6490259756832399,0.670485131036831,,0.8701282051282051,
jpeg2000,30,0.6486462679436075,,0.6486462679436075,0.6486462679436075,0.6793027604311189,,0.8894871794871795,
jpeg2000,40,0.6432283886506646,,0.6432283886506646,0.6432283886506646,0.6769645042671483,,0.8925641025641026,
jpeg2000,50,0.6449256816890659,,0.6449256816890659,0.6449256816890659,0.6826144218413992,,0.8843589743589744,
jpeg2000,60,0.6411956979447235,,0.6411956979447235,0.6411956979447235,0.6740707705237018,,0.8826923076923077,
jpeg2000,70,0.6501009169667861,,0.6501009169667861,0.6501009169667861,0.660682739642845,,0.8869230769230769,
jpeg2000,75,0.6276088434566519,,0.6276088434566519,0.6276088434566519,0.6687841864236338,,0.8766666666666667,
jpeg2000,80,0.6645738163197336,,0.6645738163197336,0.6645738163197336,0.6735245997567846,,0.8841025641025642,
jpeg2000,85,0.6494113878232893,,0.6494113878232893,0.6494113878232893,0.6701068215667553,,0.8806410256410256,
jpeg2000,90,0.6621245774350826,,0.6621245774350826,0.6621245774350826,0.6761905777792591,,0.8878205128205128,
jpeg2000,95,0.6497012530026662,,0.6497012530026662,0.6497012530026662,0.6654978482029241,,0.8882051282051282,
jpeg2000,100,0.6608636624929486,,0.6608636624929486,0.6608636624929486,0.6845564103696892,,0.8832051282051282,
