experiment_id,format,train_quality,test_quality,test_accuracy,test_f1_macro
resnet50_syntax_baseline_20260129_140531,avif,baseline,100,0.19333333333333333,0.04532540881025939
resnet50_syntax_baseline_20260129_140531,avif,baseline,85,0.15666666666666668,0.03930344046737116
resnet50_syntax_baseline_20260129_140531,avif,baseline,70,0.18333333333333332,0.043420044359816334
resnet50_syntax_baseline_20260129_140531,avif,baseline,50,0.19333333333333333,0.048906101095207884
resnet50_syntax_baseline_20260129_140531,avif,baseline,30,0.14666666666666667,0.02822015200949825
resnet50_syntax_baseline_20260129_140531,avif,baseline,10,0.14,0.032352865686199016
