experiment_id,format,train_quality,test_quality,baseline_val_score,test_subset_accuracy,test_hamming_accuracy,test_f1_macro,test_f1_micro,test_map,test_n_classes_present
efficientnet_b0_syntax_baseline_20260521_104304,avif,baseline,100,64.07337857932535,0.0966666666666666,0.8992307692307693,0.6295510310704115,0.7824395665462629,0.6248096786769558,24
efficientnet_b0_syntax_baseline_20260521_104304,avif,baseline,95,64.07337857932535,0.1033333333333333,0.8998717948717949,0.6308629816470304,0.7833844438249233,0.6207086534910585,24
efficientnet_b0_syntax_baseline_20260521_104304,avif,baseline,90,64.07337857932535,0.1033333333333333,0.8993589743589744,0.6299226385002736,0.7824874511991077,0.6219525455217146,24
efficientnet_b0_syntax_baseline_20260521_104304,avif,baseline,85,64.07337857932535,0.1033333333333333,0.8998717948717949,0.6316632424018674,0.7837235228539576,0.6238170301320324,24
efficientnet_b0_syntax_baseline_20260521_104304,avif,baseline,80,64.07337857932535,0.1,0.9007692307692308,0.6307234655687596,0.7856347438752784,0.6250429362166888,24
efficientnet_b0_syntax_baseline_20260521_104304,avif,baseline,75,64.07337857932535,0.1166666666666666,0.9003846153846153,0.6341405004538764,0.7844228094575799,0.6244941885565608,24
efficientnet_b0_syntax_baseline_20260521_104304,avif,baseline,70,64.07337857932535,0.1066666666666666,0.8982051282051282,0.6255918674058412,0.7799721835883171,0.6232250705237381,24
efficientnet_b0_syntax_baseline_20260521_104304,avif,baseline,60,64.07337857932535,0.1133333333333333,0.8998717948717949,0.6286311355585968,0.7831895352073476,0.6267716530525992,24
efficientnet_b0_syntax_baseline_20260521_104304,avif,baseline,50,64.07337857932535,0.1,0.8987179487179487,0.6265018083701318,0.78071886319309,0.6293015660690565,24
efficientnet_b0_syntax_baseline_20260521_104304,avif,baseline,40,64.07337857932535,0.1033333333333333,0.9002564102564102,0.6270034532645989,0.7833612506979342,0.6200156203051352,24
efficientnet_b0_syntax_baseline_20260521_104304,avif,baseline,30,64.07337857932535,0.09,0.8976923076923077,0.6101275039827794,0.776463963963964,0.6158756871891865,24
efficientnet_b0_syntax_baseline_20260521_104304,avif,baseline,20,64.07337857932535,0.09,0.895,0.6125128528340053,0.7686651583710408,0.6185825274524991,24
efficientnet_b0_syntax_baseline_20260521_104304,avif,baseline,10,64.07337857932535,0.04666666666666667,0.8874358974358975,0.5816430265195555,0.7516284338714245,0.604937903729302,24
efficientnet_b0_syntax_baseline_20260521_104304,jpeg,baseline,100,64.07337857932535,0.09,0.8994871794871795,0.6283227124649594,0.783212896053363,0.6206164210088767,24
efficientnet_b0_syntax_baseline_20260521_104304,jpeg,baseline,95,64.07337857932535,0.1,0.9006410256410257,0.6306520012570863,0.7860116569525396,0.6227403503028585,24
efficientnet_b0_syntax_baseline_20260521_104304,jpeg,baseline,90,64.07337857932535,0.1,0.9006410256410257,0.6326761791773602,0.7856547122602169,0.6217217154672855,24
efficientnet_b0_syntax_baseline_20260521_104304,jpeg,baseline,85,64.07337857932535,0.0966666666666666,0.9,0.6314114208888383,0.7853577371048253,0.6237254375867214,24
efficientnet_b0_syntax_baseline_20260521_104304,jpeg,baseline,80,64.07337857932535,0.09,0.8982051282051282,0.6295843209527736,0.781621920841406,0.6220654530996094,24
efficientnet_b0_syntax_baseline_20260521_104304,jpeg,baseline,75,64.07337857932535,0.0933333333333333,0.9019230769230768,0.6385528941660593,0.7877266387726639,0.6222637753278961,24
efficientnet_b0_syntax_baseline_20260521_104304,jpeg,baseline,70,64.07337857932535,0.11,0.8992307692307693,0.6315156305940072,0.7830188679245284,0.6208122608295982,24
efficientnet_b0_syntax_baseline_20260521_104304,jpeg,baseline,60,64.07337857932535,0.0933333333333333,0.8983333333333333,0.6275462702672397,0.7799721835883171,0.6191484715507116,24
efficientnet_b0_syntax_baseline_20260521_104304,jpeg,baseline,50,64.07337857932535,0.0933333333333333,0.8971794871794871,0.6238805900211054,0.7762863534675615,0.617357071325043,24
efficientnet_b0_syntax_baseline_20260521_104304,jpeg,baseline,40,64.07337857932535,0.0866666666666666,0.8951282051282051,0.6215808272031429,0.770698849284311,0.6212207821754999,24
efficientnet_b0_syntax_baseline_20260521_104304,jpeg,baseline,30,64.07337857932535,0.0866666666666666,0.8938461538461538,0.6016643282242011,0.764505119453925,0.6201963923511199,24
efficientnet_b0_syntax_baseline_20260521_104304,jpeg,baseline,20,64.07337857932535,0.0566666666666666,0.8826923076923077,0.5704320283186959,0.7430497051390059,0.6060390097896712,24
efficientnet_b0_syntax_baseline_20260521_104304,jpeg,baseline,10,64.07337857932535,0.02,0.7816666666666667,0.4875048431784299,0.5868115584094838,0.5114470667318596,24
efficientnet_b0_syntax_baseline_20260521_104304,jpeg2000,baseline,100,64.07337857932535,0.0966666666666666,0.8997435897435897,0.6298513307976693,0.7847049044056525,0.6223537688785622,24
efficientnet_b0_syntax_baseline_20260521_104304,jpeg2000,baseline,95,64.07337857932535,0.1066666666666666,0.9012820512820512,0.6400815319161852,0.7875762617859123,0.6221255472238815,24
efficientnet_b0_syntax_baseline_20260521_104304,jpeg2000,baseline,90,64.07337857932535,0.0966666666666666,0.9003846153846153,0.6343030560967491,0.7857935627081021,0.620236634269316,24
efficientnet_b0_syntax_baseline_20260521_104304,jpeg2000,baseline,85,64.07337857932535,0.0933333333333333,0.898974358974359,0.6319696797157195,0.7828016643550624,0.6244298416793308,24
efficientnet_b0_syntax_baseline_20260521_104304,jpeg2000,baseline,80,64.07337857932535,0.0966666666666666,0.8982051282051282,0.6305456831874189,0.7817174515235457,0.6235631100333683,24
efficientnet_b0_syntax_baseline_20260521_104304,jpeg2000,baseline,75,64.07337857932535,0.0933333333333333,0.8971794871794871,0.6302529959682002,0.7791920309905921,0.6217836788183612,24
efficientnet_b0_syntax_baseline_20260521_104304,jpeg2000,baseline,70,64.07337857932535,0.0866666666666666,0.8984615384615384,0.6349469271614471,0.7822001105583195,0.623285702078738,24
efficientnet_b0_syntax_baseline_20260521_104304,jpeg2000,baseline,60,64.07337857932535,0.0933333333333333,0.8962820512820513,0.6298883778126959,0.7769784172661871,0.6231267642000319,24
efficientnet_b0_syntax_baseline_20260521_104304,jpeg2000,baseline,50,64.07337857932535,0.0833333333333333,0.8962820512820513,0.6240425958239952,0.7760199833472107,0.6235581897312379,24
efficientnet_b0_syntax_baseline_20260521_104304,jpeg2000,baseline,40,64.07337857932535,0.0733333333333333,0.8938461538461538,0.6164573258310683,0.7697881828316611,0.6207659645688303,24
efficientnet_b0_syntax_baseline_20260521_104304,jpeg2000,baseline,30,64.07337857932535,0.0733333333333333,0.8917948717948718,0.6041810013584766,0.7641456582633053,0.6154736306906096,24
efficientnet_b0_syntax_baseline_20260521_104304,jpeg2000,baseline,20,64.07337857932535,0.07,0.888974358974359,0.5978408553880704,0.7557187235244281,0.6083693899218042,24
efficientnet_b0_syntax_baseline_20260521_104304,jpeg2000,baseline,10,64.07337857932535,0.05,0.8803846153846154,0.5707586997292139,0.7347170884276372,0.6062666271725293,24
