experiment_id,format,train_quality,test_quality,test_accuracy,test_f1_macro
resnet50_syntax_baseline_20260129_133806,jpeg2000,baseline,100,0.17666666666666667,0.08142150344680026
resnet50_syntax_baseline_20260129_133806,jpeg2000,baseline,85,0.16333333333333333,0.0838887337983848
resnet50_syntax_baseline_20260129_133806,jpeg2000,baseline,70,0.15666666666666668,0.07738403598755512
resnet50_syntax_baseline_20260129_133806,jpeg2000,baseline,50,0.16,0.07239853918775488
resnet50_syntax_baseline_20260129_133806,jpeg2000,baseline,30,0.13666666666666666,0.06035256944713924
resnet50_syntax_baseline_20260129_133806,jpeg2000,baseline,10,0.12,0.05604802001144702
