experiment_id,format,train_quality,test_quality,best_val_score,test_subset_accuracy,test_hamming_accuracy,test_f1_macro,test_f1_micro,test_map,test_n_classes_present
resnet50_syntax_mixed_avif,avif,mixed,png,67.03095655245487,0.12666666666666668,0.8865384615384615,0.6773008761742938,0.7795765877957659,0.6551097251050485,24
resnet50_syntax_mixed_avif,avif,mixed,100,67.03095655245487,0.13,0.8864102564102564,0.6773993935040928,0.7798210735586482,0.6542652295218406,24
resnet50_syntax_mixed_avif,avif,mixed,95,67.03095655245487,0.12,0.8851282051282051,0.6738611654451279,0.777667493796526,0.6532204824298156,24
resnet50_syntax_mixed_avif,avif,mixed,90,67.03095655245487,0.12,0.8856410256410256,0.6737755140095736,0.7784401390958768,0.6498600449616366,24
resnet50_syntax_mixed_avif,avif,mixed,85,67.03095655245487,0.11333333333333333,0.8861538461538462,0.6757123523417435,0.7795431976166832,0.6524366624337989,24
resnet50_syntax_mixed_avif,avif,mixed,80,67.03095655245487,0.12333333333333334,0.8857692307692308,0.6736473946035159,0.7784133300174086,0.6508071708985751,24
resnet50_syntax_mixed_avif,avif,mixed,75,67.03095655245487,0.13,0.8861538461538462,0.6735392094730441,0.7788844621513944,0.6527059899422298,24
resnet50_syntax_mixed_avif,avif,mixed,70,67.03095655245487,0.13,0.8866666666666667,0.6738678331427922,0.7793310034947578,0.6498401288856769,24
resnet50_syntax_mixed_avif,avif,mixed,60,67.03095655245487,0.13,0.8853846153846154,0.677972212708234,0.7783837382250868,0.6538558912350921,24
resnet50_syntax_mixed_avif,avif,mixed,50,67.03095655245487,0.12,0.8857692307692308,0.6741143199466366,0.7785234899328859,0.650252768413149,24
resnet50_syntax_mixed_avif,avif,mixed,40,67.03095655245487,0.13333333333333333,0.8865384615384615,0.6753320538968203,0.7796863330843914,0.6511172100854169,24
resnet50_syntax_mixed_avif,avif,mixed,30,67.03095655245487,0.13,0.8874358974358975,0.6760198857434427,0.7811565304087736,0.6578008734195596,24
resnet50_syntax_mixed_avif,avif,mixed,20,67.03095655245487,0.11333333333333333,0.8857692307692308,0.6726146595237449,0.7776391315198403,0.6672032138384839,24
resnet50_syntax_mixed_avif,avif,mixed,10,67.03095655245487,0.12333333333333334,0.8880769230769231,0.6741282616387778,0.7804878048780488,0.6592531414811909,24
