experiment_id,format,train_quality,test_quality,best_val_score,test_subset_accuracy,test_hamming_accuracy,test_f1_macro,test_f1_micro,test_map,test_n_classes_present
resnet50_syntax_mixed_jpeg2000,jpeg2000,mixed,png,68.04578855070146,0.14666666666666667,0.8941025641025641,0.6742307783144526,0.7880964597229349,0.6586227013296426,24
resnet50_syntax_mixed_jpeg2000,jpeg2000,mixed,100,68.04578855070146,0.15,0.8938461538461538,0.6758970499689759,0.787801127626858,0.6582368185031046,24
resnet50_syntax_mixed_jpeg2000,jpeg2000,mixed,95,68.04578855070146,0.14,0.8941025641025641,0.6758274629027907,0.7880964597229349,0.6568799309588451,24
resnet50_syntax_mixed_jpeg2000,jpeg2000,mixed,90,68.04578855070146,0.14666666666666667,0.8934615384615384,0.673628599922171,0.7869776980261471,0.6582519880527,24
resnet50_syntax_mixed_jpeg2000,jpeg2000,mixed,85,68.04578855070146,0.13333333333333333,0.8935897435897436,0.6741132695109803,0.7871794871794872,0.6559473167006074,24
resnet50_syntax_mixed_jpeg2000,jpeg2000,mixed,80,68.04578855070146,0.14333333333333334,0.8937179487179487,0.6756449324875146,0.7875992826031258,0.6574897921326203,24
resnet50_syntax_mixed_jpeg2000,jpeg2000,mixed,75,68.04578855070146,0.15,0.8947435897435897,0.6767620005407506,0.7893251218886322,0.6590379129860807,24
resnet50_syntax_mixed_jpeg2000,jpeg2000,mixed,70,68.04578855070146,0.15,0.8947435897435897,0.678493550630361,0.789648987957981,0.6600511245377573,24
resnet50_syntax_mixed_jpeg2000,jpeg2000,mixed,60,68.04578855070146,0.14,0.8933333333333333,0.6711088514546347,0.7864476386036962,0.6574705171982762,24
resnet50_syntax_mixed_jpeg2000,jpeg2000,mixed,50,68.04578855070146,0.14666666666666667,0.8947435897435897,0.6748569620086268,0.789108656563062,0.65549771151254,24
resnet50_syntax_mixed_jpeg2000,jpeg2000,mixed,40,68.04578855070146,0.14666666666666667,0.895,0.6788253240165861,0.7897304236200257,0.6565193210057311,24
resnet50_syntax_mixed_jpeg2000,jpeg2000,mixed,30,68.04578855070146,0.15333333333333332,0.8955128205128206,0.6791439696095128,0.7907573812580231,0.6566228703575879,24
resnet50_syntax_mixed_jpeg2000,jpeg2000,mixed,20,68.04578855070146,0.15333333333333332,0.8973076923076924,0.6787898427552559,0.7940344561583955,0.6640962792382795,24
resnet50_syntax_mixed_jpeg2000,jpeg2000,mixed,10,68.04578855070146,0.15,0.8992307692307693,0.6759602983539382,0.7966890843248836,0.6594187074255838,24
