experiment_id,format,train_quality,test_quality,best_val_score,test_subset_accuracy,test_hamming_accuracy,test_f1_macro,test_f1_micro,test_map,test_n_classes_present
efficientnet_b0_syntax_mixed_jpeg2000,jpeg2000,mixed,png,64.23736329788305,0.08666666666666667,0.8946153846153846,0.6339162624473391,0.7796610169491526,0.6364004721355235,24
efficientnet_b0_syntax_mixed_jpeg2000,jpeg2000,mixed,100,64.23736329788305,0.09333333333333334,0.8946153846153846,0.6347491538202089,0.780114722753346,0.6379813730691217,24
efficientnet_b0_syntax_mixed_jpeg2000,jpeg2000,mixed,95,64.23736329788305,0.09666666666666666,0.8952564102564102,0.6384710624152944,0.7812073204042611,0.6347123486269688,24
efficientnet_b0_syntax_mixed_jpeg2000,jpeg2000,mixed,90,64.23736329788305,0.09333333333333334,0.8946153846153846,0.6403080878577794,0.7808331064524912,0.6348030881492447,24
efficientnet_b0_syntax_mixed_jpeg2000,jpeg2000,mixed,85,64.23736329788305,0.09,0.895,0.6387831246769223,0.7809680065627563,0.6377265308110048,24
efficientnet_b0_syntax_mixed_jpeg2000,jpeg2000,mixed,80,64.23736329788305,0.08,0.8943589743589744,0.6326452018621456,0.779114270092947,0.6371105781367676,24
efficientnet_b0_syntax_mixed_jpeg2000,jpeg2000,mixed,75,64.23736329788305,0.08333333333333333,0.8935897435897436,0.6307919284682195,0.7783842794759825,0.6350056748254328,24
efficientnet_b0_syntax_mixed_jpeg2000,jpeg2000,mixed,70,64.23736329788305,0.08333333333333333,0.8943589743589744,0.6349572488425835,0.7803547066848567,0.6344990907020313,24
efficientnet_b0_syntax_mixed_jpeg2000,jpeg2000,mixed,60,64.23736329788305,0.09333333333333334,0.8942307692307693,0.6360441144364491,0.7800108636610538,0.6355373451581313,24
efficientnet_b0_syntax_mixed_jpeg2000,jpeg2000,mixed,50,64.23736329788305,0.09,0.8941025641025641,0.6346330699923132,0.7790792699536911,0.6338525277449213,24
efficientnet_b0_syntax_mixed_jpeg2000,jpeg2000,mixed,40,64.23736329788305,0.09,0.8934615384615384,0.6302155159214756,0.7767467248908297,0.6343583602252306,24
efficientnet_b0_syntax_mixed_jpeg2000,jpeg2000,mixed,30,64.23736329788305,0.08,0.8907692307692308,0.6226608792194143,0.7714129841789417,0.6280677806985291,24
efficientnet_b0_syntax_mixed_jpeg2000,jpeg2000,mixed,20,64.23736329788305,0.07666666666666666,0.8896153846153846,0.6138381568843557,0.7670035509423655,0.627635665000084,24
efficientnet_b0_syntax_mixed_jpeg2000,jpeg2000,mixed,10,64.23736329788305,0.08333333333333333,0.8902564102564102,0.6174985799075499,0.7673402512288368,0.6281910765118077,24
