experiment_id,format,train_quality,test_quality,best_val_score,test_subset_accuracy,test_hamming_accuracy,test_f1_macro,test_f1_micro,test_map,test_n_classes_present
efficientnet_b0_syntax_mixed_avif,avif,mixed,png,64.10244791786226,0.056666666666666664,0.8788461538461538,0.6368762545975758,0.7646906549314004,0.6261958146320845,24
efficientnet_b0_syntax_mixed_avif,avif,mixed,100,64.10244791786226,0.05333333333333334,0.8767948717948718,0.6354629987581965,0.7614868353123386,0.6258965005601369,24
efficientnet_b0_syntax_mixed_avif,avif,mixed,95,64.10244791786226,0.06666666666666667,0.877948717948718,0.635013036767946,0.7629878521581804,0.6238779774494092,24
efficientnet_b0_syntax_mixed_avif,avif,mixed,90,64.10244791786226,0.06,0.8780769230769231,0.6331271206481314,0.763014763014763,0.6248531713311656,24
efficientnet_b0_syntax_mixed_avif,avif,mixed,85,64.10244791786226,0.05333333333333334,0.8787179487179487,0.6313339125838718,0.7631647211413748,0.6265218540465143,24
efficientnet_b0_syntax_mixed_avif,avif,mixed,80,64.10244791786226,0.06666666666666667,0.8767948717948718,0.6323808872720029,0.7616339193381593,0.6287031064087001,24
efficientnet_b0_syntax_mixed_avif,avif,mixed,75,64.10244791786226,0.056666666666666664,0.8796153846153846,0.6325210918305197,0.7640625,0.6241049400474693,24
efficientnet_b0_syntax_mixed_avif,avif,mixed,70,64.10244791786226,0.06,0.8802564102564102,0.6376613578246145,0.7684346701164295,0.6246161563741596,24
efficientnet_b0_syntax_mixed_avif,avif,mixed,60,64.10244791786226,0.06,0.8808974358974359,0.6401789379727633,0.7677134700233584,0.6273275633982345,24
efficientnet_b0_syntax_mixed_avif,avif,mixed,50,64.10244791786226,0.06666666666666667,0.8808974358974359,0.6376482533599979,0.7681947681947682,0.6301979261018679,24
efficientnet_b0_syntax_mixed_avif,avif,mixed,40,64.10244791786226,0.07666666666666666,0.8803846153846154,0.6390718691331353,0.7665541417813555,0.6251457299386921,24
efficientnet_b0_syntax_mixed_avif,avif,mixed,30,64.10244791786226,0.06,0.8775641025641026,0.6283530287473503,0.7599792638672888,0.6251818663929131,24
efficientnet_b0_syntax_mixed_avif,avif,mixed,20,64.10244791786226,0.06,0.877051282051282,0.6189928331474798,0.7554163403811015,0.6286506714641481,24
efficientnet_b0_syntax_mixed_avif,avif,mixed,10,64.10244791786226,0.05333333333333334,0.8794871794871795,0.6208096137635922,0.7570385818561001,0.6239281403890782,24
