experiment_id,format,train_quality,test_quality,best_val_score,test_subset_accuracy,test_hamming_accuracy,test_f1_macro,test_f1_micro,test_map,test_n_classes_present
efficientnet_b0_syntax_mixed_jpeg,jpeg,mixed,png,64.13377814171518,0.07666666666666666,0.882051282051282,0.6402381867620747,0.7658031088082902,0.6278147375651854,24
efficientnet_b0_syntax_mixed_jpeg,jpeg,mixed,100,64.13377814171518,0.07666666666666666,0.8806410256410256,0.6344604724170319,0.7636551902666322,0.6278840897082046,24
efficientnet_b0_syntax_mixed_jpeg,jpeg,mixed,95,64.13377814171518,0.08666666666666667,0.8832051282051282,0.6421814096011503,0.7682737169517885,0.6302705357554698,24
efficientnet_b0_syntax_mixed_jpeg,jpeg,mixed,90,64.13377814171518,0.08666666666666667,0.8807692307692307,0.6394156126022567,0.7635327635327636,0.6271797921094197,24
efficientnet_b0_syntax_mixed_jpeg,jpeg,mixed,85,64.13377814171518,0.08666666666666667,0.8794871794871795,0.6322384830691036,0.7616339193381593,0.6234091133498385,24
efficientnet_b0_syntax_mixed_jpeg,jpeg,mixed,80,64.13377814171518,0.08,0.8819230769230769,0.6334355528377543,0.7651180898001557,0.6230360502323434,24
efficientnet_b0_syntax_mixed_jpeg,jpeg,mixed,75,64.13377814171518,0.09,0.8819230769230769,0.6369713565919817,0.7662001036806636,0.6293728158276968,24
efficientnet_b0_syntax_mixed_jpeg,jpeg,mixed,70,64.13377814171518,0.07333333333333333,0.8794871794871795,0.6287555202275564,0.7612366848532086,0.6251543946824659,24
efficientnet_b0_syntax_mixed_jpeg,jpeg,mixed,60,64.13377814171518,0.07,0.8785897435897436,0.632807207104038,0.7609201344016542,0.6248956941633311,24
efficientnet_b0_syntax_mixed_jpeg,jpeg,mixed,50,64.13377814171518,0.07333333333333333,0.8780769230769231,0.633132883269393,0.760774193548387,0.6234400873610835,24
efficientnet_b0_syntax_mixed_jpeg,jpeg,mixed,40,64.13377814171518,0.07,0.8792307692307693,0.6331139774075709,0.7618801652892562,0.6203425089624691,24
efficientnet_b0_syntax_mixed_jpeg,jpeg,mixed,30,64.13377814171518,0.056666666666666664,0.8767948717948718,0.6231344313663293,0.7546487603305785,0.6158215138367225,24
efficientnet_b0_syntax_mixed_jpeg,jpeg,mixed,20,64.13377814171518,0.05333333333333334,0.8742307692307693,0.6268696156921147,0.752851711026616,0.6214670814929676,24
efficientnet_b0_syntax_mixed_jpeg,jpeg,mixed,10,64.13377814171518,0.056666666666666664,0.8558974358974358,0.6124994651188481,0.7249382716049383,0.6189141404543689,24
