experiment_id,format,train_quality,test_quality,best_val_acc,test_accuracy,test_f1_macro
resnet50_syntax_q100_jpeg2000_20260129_010437,jpeg2000,100,baseline,14.5,0.18333333333333332,0.03655702694629515
resnet50_syntax_q85_jpeg2000_20260129_013012,jpeg2000,85,baseline,20.0,0.17333333333333334,0.06730732649115045
resnet50_syntax_q70_jpeg2000_20260129_014602,jpeg2000,70,baseline,15.0,0.20666666666666667,0.08423602478993515
resnet50_syntax_q50_jpeg2000_20260129_020046,jpeg2000,50,baseline,17.0,0.18333333333333332,0.08875741002900663
resnet50_syntax_q30_jpeg2000_20260129_021513,jpeg2000,30,baseline,17.5,0.21,0.047799740096309835
resnet50_syntax_q10_jpeg2000_20260129_022520,jpeg2000,10,baseline,17.5,0.13,0.052941848029265416
