experiment_id,format,train_quality,test_quality,best_val_acc,test_accuracy,test_f1_macro
resnet50_syntax_q100_20260129_000522,jpeg,100,baseline,19.5,0.19333333333333333,0.06082007860516758
resnet50_syntax_q85_20260129_001501,jpeg,85,baseline,18.0,0.19333333333333333,0.04932772180757932
resnet50_syntax_q70_20260129_002238,jpeg,70,baseline,17.0,0.23,0.06212475701756175
resnet50_syntax_q50_20260129_003039,jpeg,50,baseline,20.5,0.19666666666666666,0.08666720460873482
resnet50_syntax_q30_20260129_004138,jpeg,30,baseline,20.5,0.18,0.09180187472870399
resnet50_syntax_q10_20260129_005351,jpeg,10,baseline,15.0,0.2,0.0425251936615573
