experiment_id,format,train_quality,test_quality,best_val_score,primary_metric,test_subset_accuracy,test_hamming_accuracy,test_f1_macro,test_f1_micro,test_map,test_n_classes_present
resnet50_syntax_q100_avif_20260522_162306,avif,100,baseline,67.38671514222789,f1_macro,0.1433333333333333,0.8864102564102564,0.6762737936783423,0.7797115862754849,0.6541474098518343,24
resnet50_syntax_q95_avif_20260522_162656,avif,95,baseline,67.92282695547233,f1_macro,0.0966666666666666,0.8825641025641026,0.6720699979215187,0.7746062992125984,0.655631868893848,24
resnet50_syntax_q90_avif_20260522_163033,avif,90,baseline,66.66168971365664,f1_macro,0.1133333333333333,0.882051282051282,0.6630139274153176,0.7691921726041144,0.6417880910837123,24
resnet50_syntax_q85_avif_20260522_163336,avif,85,baseline,67.16012989185164,f1_macro,0.1,0.8787179487179487,0.6640831496910213,0.7667652859960552,0.6581491393502407,24
resnet50_syntax_q80_avif_20260522_163617,avif,80,baseline,67.52412766347403,f1_macro,0.13,0.8862820512820513,0.6708576302183747,0.7777499373590578,0.6624290675197616,24
resnet50_syntax_q75_avif_20260522_163930,avif,75,baseline,67.04467092965889,f1_macro,0.0966666666666666,0.8816666666666667,0.6736843046154425,0.7724919891545476,0.659664990007184,24
resnet50_syntax_q70_avif_20260522_164217,avif,70,baseline,67.56271513619873,f1_macro,0.12,0.8811538461538462,0.6680759913759858,0.771280532938564,0.6495587964790047,24
resnet50_syntax_q60_avif_20260522_164459,avif,60,baseline,67.94687512738713,f1_macro,0.12,0.887948717948718,0.6795548043132059,0.7823705179282868,0.6556957183769018,24
resnet50_syntax_q50_avif_20260522_164802,avif,50,baseline,66.96499846674409,f1_macro,0.12,0.8821794871794871,0.6748348286275005,0.773254379471996,0.6478993293427449,24
resnet50_syntax_q40_avif_20260522_165057,avif,40,baseline,67.46609124789553,f1_macro,0.1433333333333333,0.8884615384615384,0.6866542780282731,0.7839046199701938,0.6593185590228048,24
resnet50_syntax_q30_avif_20260522_165350,avif,30,baseline,67.0294759845047,f1_macro,0.0933333333333333,0.8756410256410256,0.6668725004709243,0.7634146341463415,0.6521365801220114,24
resnet50_syntax_q20_avif_20260522_165616,avif,20,baseline,67.4343837358119,f1_macro,0.0833333333333333,0.8707692307692307,0.6725053902617661,0.760797342192691,0.6485333391242506,24
resnet50_syntax_q10_avif_20260522_165836,avif,10,baseline,67.74393064649027,f1_macro,0.13333333333333333,0.8843589743589744,0.6626347231465465,0.7732528908999498,0.6410573855532444,24
